Date	Days p.a.	Treatment	Replicate	DO	EF	Scenedesmus maximus	Scenedesmus aristatus	Scenedesmus tropicus	Scenedesmus perforatus	Scenedesmus opoliensis	Scenedesmus quadricauda	Scenedesmus quadrispina	Scenedesmus dispar	Scenedesmus bicaudatus	Scenedesmus denticulatus	Scenedesmus denticulatus var linearis	Scenedesmus bijuga	Scenedesmus dimorphus	Scenedesmus longispina	Scenedesmus obliquus	Scenedesmus bernardii	Pediastrum tetras	Pediastrum duplex	Pediastrum simplex	Coelastrum cambricum	Coelastrum astroideum	Coelastrum sphaericum	Coelastrum reticulatum	Coelastrum microporum	Sphaerocystis shroeteri	Schizochlamys sp	Oocystis borgei	Oocystis pusilla	Oocystis lacustris	Oocystis elliptica	Oocystis rupestris	Tetraedron caudatum	Tetraedron minimum	Tetraedron trigonium	Staurastrum sexangulare	Staurastrum sp	Botryococcus braunnii	Elakatothrix gelatinosa	Micractinium pusillum	Kirchneriella obesa	Schroederia sp	Sphaerocystis schoeteri	Ankistrodesmus falcatus	Ankistrodesmus nannoselene	Monoraphidium sp	Golenkinia radiata	Chroococcus dispersus	Chroococcus dispersus var minor	Chroococcus limneticus	Spirulina laxissima	Gomphosphaeria sp	Pseudoanabaena limnetica	Merismopedia minima	Merismopedia tenuissima	Phormidium mucicola	Oscillatoria tenius	Oscillatoria limnetica	Coelosphaerium sp	Microcystis incerta	Microcystis aeruginosa	Nitzschia palea	Nitzschia amphibia	Cocconeis sp	Gomphonema parvulum	Amphora sp	Surirella tenera	Frustulia sp	Cyclotella sp	Chilomonas paramecium	Cryptomonas ovata	Cryptomonas pyrenoidifera	Mallomonas spp	Mallomonas caudata	Campilomonas spp	Chroomonas acuta	Phacus longispina	Cosmarium sp
08/03/05	7	3	1	9.2	8.288	0	1440	0	0	0	2920	0	11680	18980	1460	0	0	0	0	0	0	11680	9360	360	2920	0	1460	0	0	0	0	2920	0	0	0	0	0	1460	0	0	0	0	0	0	0	1460	0	0	0	0	0	0	0	0	0	0	0	0	17520	29200	1460	2920	0	146000	0	8760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08/03/05	7	3	2	7.2	13.024	0	1200	0	0	0	1480	0	31080	1480	0	0	0	0	0	0	0	19240	2400	0	16280	0	0	0	0	0	0	0	0	1480	0	0	0	0	0	0	1480	0	1480	0	1480	0	0	0	0	0	0	0	0	0	0	0	1480	0	11840	0	0	0	0	0	0	23680	8880	0	19240	0	0	0	2960	0	0	0	0	0	0	0	0	0
08/03/05	7	4	1	8.45	17.76	0	880	0	0	3000	0	0	10500	0	0	1500	0	1500	0	0	0	19500	7480	880	9000	0	0	0	1500	0	0	6000	30000	0	1500	0	0	15000	1500	0	0	0	18000	1500	0	0	0	0	0	0	0	0	0	0	0	0	21000	0	0	0	19500	0	1500	22500000	0	9000	0	0	0	0	0	0	4500	0	0	0	6000	0	0	0	1500	1500
08/03/05	7	4	2	8.55	1.184	0	1320	0	0	0	0	0	6000	0	0	0	0	0	0	0	0	12000	8800	440	7500	0	0	0	0	0	0	3000	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	0	0	13500	1500	0	0	0	0	37500	0	0	12000	0	0	0	0	0	0	0	0	0	0	0	0	0
08/03/05	7	5	1	5.7	4.736	0	660	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	15000	2640	1320	15000	0	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	3000	0	1500	0	0	0	0	0	0	1500	0	0	0	0	0	0	0
08/03/05	7	5	2	4	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	3960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	1500	0	0	1500	0	0	0	0	0	0	0	1500	0	0	0	0	0
15/03/05	14	1	1	12.6	136.16	2100	1640	2100	0	0	2100	0	27300	71400	0	0	0	0	0	0	0	12600	3280	0	12600	0	0	0	0	0	0	12600	0	109200	0	0	2100	4200	0	0	0	0	0	0	0	2100	0	0	0	0	0	0	0	0	0	0	0	0	27300	2100	0	0	0	0	0	0	0	4200	0	0	0	0	2100	4200	8400	0	0	0	0	0	0	0
15/03/05	14	1	2	10.85	34.04	480	960	320	0	0	1440	0	0	63360	2880	0	0	0	0	0	0	87840	3200	0	18720	0	0	0	1440	0	0	1440	2880	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17280	0	0	0	0	0	0	1440	0	0	1440	0	0	0	0	0	4320	0	0	0	0	0	0	0
15/03/05	14	1	3	9.75	33.152	320	640	160	0	0	1440	0	27500	7200	1440	0	2880	0	0	0	0	0	1280	0	2880	0	0	0	0	0	0	0	2880	0	0	0	0	2880	0	0	0	8640	0	0	0	0	5760	0	0	0	0	0	0	0	0	0	0	0	4320	0	0	0	0	0	0	0	1440	0	2880	0	0	0	2880	0	0	4320	0	0	0	0	0	0
15/03/05	14	1	4	11.35	47.36	1650	4950	2200	0	0	3666.666667	0	0	58666.66667	3666.666667	1833.333333	0	0	0	0	0	36666.66667	7700	0	7333.333333	0	0	7333.333333	9166.666667	0	0	1833.333333	0	0	0	0	1833.333333	0	0	0	0	7333.333333	0	0	0	0	20166.66667	0	0	0	0	0	0	0	0	0	0	0	5500	0	0	0	0	0	0	0	0	20166.66667	16500	0	0	0	1833.333333	0	5500	3666.666667	0	0	0	0	0	0
15/03/05	14	2	1	11.5	63.936	1500	1100	660	0	0	3000	0	4500	39000	1500	0	0	0	0	0	0	16500	1320	0	7500	0	0	0	0	0	0	0	10500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19500	0	0	0	0	0	0	0	0	0	3000	0	0	0	1500	0	0	0	0	0	0	0	0	0
15/03/05	14	2	2	11.15	29.6	640	640	320	0	5760	1440	0	21600	7200	0	1440	0	0	0	0	0	4320	0	320	4320	0	0	0	0	0	0	1440	0	1440	0	25920	0	0	0	0	1440	0	2880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1440	0	0	1440000	0	1440	0	1440	0	0	0	0	0	10080	2880	0	0	0	0	0	0	0
15/03/05	14	3	1	9.65	5.92	0	360	720	0	0	0	0	0	2920	1460	0	0	0	0	0	0	16060	7200	360	5840	0	0	0	0	0	0	0	1460	5840	0	0	0	1460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36500	0	0	0	0	0	0	5840	0	5840	2920	0	0	0	0	0	0	0	0	0	0	0	0	0
15/03/05	14	3	2	6.8	7.104	0	320	0	0	0	0	0	0	4320	0	0	0	0	0	0	0	10080	960	0	12960	0	0	0	0	0	0	0	4320	5760	0	1440	0	0	0	0	0	0	11520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11520	0	0	0	0	0	0	1440	1440	15840	25920	0	0	0	0	0	31680	1440	0	0	0	1440	0	0
15/03/05	14	4	1	10.8	20.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5920	2000	0	1480	0	0	0	0	0	0	0	148000	0	0	0	0	4440	0	0	0	0	19240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5920	10360	0	0	888000	0	22200	1480	0	1480	0	0	0	59200	0	0	0	5920	0	0	0	0	0
15/03/05	14	4	2	8.9	2.368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2960	4000	0	2960	0	0	0	0	0	0	1480	0	0	0	0	0	0	0	0	0	14800	0	0	0	0	0	0	0	0	0	464720	2960	0	0	0	0	0	4440	28120	0	0	0	0	0	177600	0	0	1480	0	0	0	0	0	0	0	0	0	0	0	0	0
15/03/05	14	5	1	5.3	1.184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10220	4680	0	2920	0	0	0	0	0	0	1460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1460	0	0	0	0	10220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15/03/05	14	5	2	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4440	0	0	0	0	0	0	0	0	0	16280	0	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1480	0	0	0	0	0	0	0	1480	0	0	0	1480	0	42920	0	0	0	0	0	0	0	0	0
22/03/05	21	1	1	10.5	27.2	2520	1260	0	0	0	30400	3800	11400	250800	3800	0	0	0	0	0	0	19000	5040	0	68400	0	0	0	3800	0	0	45600	3800	0	0	0	0	53200	0	0	0	0	0	0	0	11400	0	0	0	0	0	0	0	0	0	0	0	0	3800	0	0	0	0	0	0	0	0	0	0	0	0	3800	0	7600	0	0	0	0	0	0	0	0
