Date	Day	week	Locatie	Treatment	replica	EF	Aphanocapsa	Oscillatoria	Anabaena	Gomphosphaeria	Merismopedia	Phormidium	Chrysococcus	Monas	Kephyrion	Achnanthes	Caloneis_silicula	Cocconeis	Cyclotella	Cymatopleura	Cymbella	Diatomeen_penales	Epithemia	Gomphonema	Gyrosigma	Pinnularia	Melosira	Phacus	Euglena	Trachelomonas	Gymnodinium	Cryptomonas	Chroomonas	Pteromonas	Ankyra	Characium	Monoraphidium	Coelastrum	Chlorococcum	Crucigenia	Dictyosphaerium	Micractinium	Scenedesmus	Pediastrum	Pandorina	Tetraedron	Tetrastrum	Oocystis	Closterium	Cosmarium	Staurastrum
13/08/01	56	8	cosm17	3	2	16.07572411	0	0	0	0	0	0	0	0	0	0	0	13921.11369	0	0	0	0	4640.37123	0	0	0	0	0	0	55684.45476	0	0	0	0	0	13921.11369	0	0	0	0	0	0	27842.22738	0	0	4640.37123	0	0	0	0	0
13/08/01	56	8	cosm18	4	2	59.1129976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23201.85615	34802.78422	23201.85615	23201.85615	0	0	0	0	0	185614.8492	0	0	0	0	0	0	0	139211.1369	0	0	0	0	568445.4756	0	0	0	0	0	0	0	0
13/08/01	56	8	cosm19	2	2	13.17915233	0	0	0	0	0	0	0	0	0	0	0	9280.742459	0	0	0	104408.3527	6960.556845	20881.67053	0	0	0	0	0	4640.37123	0	0	0	0	0	0	2320.185615	0	0	0	0	0	4640.37123	0	0	0	0	0	0	4640.37123	0
13/08/01	56	8	cosm20	1	2	12.35156039	0	0	0	0	0	0	0	0	0	0	0	6264.50116	0	0	0	15545.24362	9280.742459	0	3016.241299	0	0	0	0	74245.93968	0	6264.50116	0	0	0	9280.742459	24825.98608	6264.50116	0	0	0	0	18561.48492	0	0	6264.50116	0	0	0	0	0
28/08/01	71	10	cosm6	3	1	8.508991199	0	0	0	0	0	0	0	0	0	0	0	34802.78422	0	0	0	18561.48492	0	0	2320.185615	0	0	0	0	11600.92807	0	0	0	0	0	0	0	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	0
28/08/01	71	10	cosm7	1	1	8.510237573	0	0	0	0	0	0	0	0	0	0	0	23201.85615	0	0	0	16241.2993	9280.742459	16241.2993	0	0	0	4640.37123	0	4640.37123	0	25522.04176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28/08/01	71	10	cosm8	4	1	8.510237573	0	3016.241299	0	0	3016.241299	0	0	0	0	0	0	0	0	0	3016.241299	34106.72854	12529.00232	0	6264.50116	0	0	3016.241299	0	21577.72622	0	0	6264.50116	0	0	15545.24362	0	0	0	0	3016.241299	0	46403.7123	0	0	0	0	0	0	0	0
28/08/01	71	10	cosm9	2	1	27.54235938	0	0	0	0	0	0	0	0	0	0	0	37122.96984	0	0	0	18561.48492	9280.742459	6960.556845	0	0	0	2320.185615	0	4640.37123	0	6960.556845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28/08/01	71	10	cosm10	5	1	22.57930051	0	104408.3527	0	0	23201.85615	0	0	0	0	0	0	0	0	0	0	23201.85615	23201.85615	0	0	0	0	23201.85615	139211.1369	1647331.787	0	0	0	0	0	0	58004.64037	0	0	0	0	0	997679.8144	0	0	0	0	0	0	0	0
28/08/01	71	10	cosm16	5	2	22.57930051	0	27842.22738	0	0	18561.48492	0	0	0	0	0	0	0	0	0	0	55684.45476	9280.742459	0	4640.37123	0	0	0	0	684454.7564	0	0	0	0	4640.37123	0	37122.96984	4640.37123	0	0	0	0	556844.5476	0	0	0	0	0	0	0	0
